text,label
khawatir khawatir dengan gelisah,1.0
Bulan Kalender benar -benar kesalahan bodoh sebulan sangat cemas,1.0
Aku mual,1.0
Tahan tidur dengan gelisah duduk dengan gelisah berdiri di sini karena pengunduran diri,1.0
Tolong sangat cemas cemas,1.0
Meminta hubungan pemujaan untuk menyukai rasa takut yang cemas,1.0
"Pagi apa pun itu gelisah, tenang, apa pun yang salah.",1.0
Temukan diri Anda ditemukan seminggu Lontang Lantinggelisah,1.0
Level yang gelisah dewa yang tidak dikeluarkan,1.0
Malam Purdah Gelisah Hati Seperti Kesendirian,1.0
"Sejujurnya, perasaan hujan hujan deras muncul dengan cemas, sepertinya tali saya patah",1.0
"Membuat data sangat gugup terkirim, itu memberi selesai, saya melakukan data, data selesai",1.0
senang tidak bersgegat gelisah,1.0
"Happy Mentari Saga di pagi hari kebahagiaan Anda, cemas, puncak masa depan Anda adalah kebahagiaan.",1.0
Screwball 3G Gelisah Gila,1.0
mie sangat menyukai kesedihan teriakan seperti menangis cemas,1.0
"Aduh, aku takut menangis dengan gelisah atau huhu yang tidak dikelilingi",1.0
Perasaan yang tidak bertingkat ini gelisah,1.0
orang dewasa gelisah orang yang tidak bertaftarkan ya sialan,1.0
"tertinggal dari kematian suaminya, ketatnya dengan sedihnya bokong yang kehilangan arah Tuhan itu kuat",1.0
Aku gugup seperti kejut linglung,1.0
"O Allah, sangat gelisah yang hilang jadi aku benar -benar repot -repot menangis untuk keluarga, menangis, tidur, tidur, menangis, menangis capeee",1.0
Tidur sampai kesal,1.0
Peduli seperti Pendem,1.0
"Sejujurnya, tahap dingin yang dingin dingin adalah lowongan pekerjaan terbuka tips trik ya ngaadi pas kerja wkwk mencoba untuk mewah terasa vakum bagus ya",1.0
Perasaan cemas pikiran mengkhawatirkan menangis lega mengkhawatirkan pikiran tenang menidurkan saya memiliki lingkaran yang kesal karena berpikir,1.0
Membingungkan untuk khawatir untuk khawatir,1.0
Kecemasan Akun Mual PAS PEMBERITAHUAN WA TAU TAU Saat mengejar untuk mengejar disertasi tesis,1.0
Default cincin itu tegang kali mendengar telepon berdering nomor yang diketahui,1.0
tahu dengan cemas membuatku takut untuk mengkhianati gagal,1.0
Sayangnya saya bersumpah kadang -kadang dengan cemas mempengaruhi percaya fisik seperti sakit perut yang pusing mengingat nasihat seorang teman seperti yang saya pikir seperti kemarin kesal membuatnya seperti manusia yang sangat lemah seperti membuat jawaban asli,1.0
Waktu dingin untuk membeli klip taemin dengan gelisah,1.0
menari di hentikan akhir kecemasan,1.0
Kisah yang sangat tidak kenal lelah,1.0
menemani dengan gelisah menyertai,1.0
Anda tahu perasaan kesedihan kesedihan itu gelisah,1.0
orang banyak orang yang gelisah sakit,1.0
"Khawatir tentang Berpikir, Dipilih dengan Baik Membuat Orang Tua Senang Menjadi Bangga",1.0
Jadi muntah itu terhubung ke dalam tubuh seperti dengan cemas dengan cemas datang emesis dalam cuaca dingin,1.0
"oke tidur segera dengan takut gelisah saya, pemujaan Tuhan itu aneh",1.0
kerusakan mual yang cemas,1.0
Sangat khawatir,1.0
"Aduh, aku sangat suka tahu",1.0
benar -benar pusink tidur sangat gugup,1.0
Dunia Galucu adalah rasa sakit yang berantakan di mana saya khawatir tentang mengkhawatirkan apa pun di rue dada yang menyesal di dada penyesalan,1.0
Lupa tidur mual dengan nyenyak memikirkan apa pun membuat Anda gugup,1.0
202021 Sulit di mana kehilangan pekerjaan saya menganggur 1 depresi dengan cemas membuat stres sesulit kondisi mencegah,1.0
Aneh Aneh Pertama,1.0
"Ya, saya hanya orang dewasa, saya bingung tentang cerita rubah saya",1.0
Minggu terasa benar -benar terasa sangat buruk pengalaman air menetes,1.0
"Ya Tuhan, saya sangat cemas, khawatir saya sangat khawatir",1.0
"Ketika saya buka, terima kasih, terima kasih Lhomerata Lives, sekarang",1.0
Mengetahui Tanpa Kegagalan yang Gelisah,1.0
Berpikir Berbahaya Percaya dengan cemas,1.0
Ah saya tahu saya jahat,1.0
Appetence stres yang cemas nafsu makan aslam ah,1.0
"Fase kecemasan yang berlebihan. Menelepon cantok hadooohh, terutama myii",1.0
tahu alasan menangis tahu alasan mengapa marah tahu alasan karena takut mengetahui alasan untuk cemas berpikir tentang bosan menjadi tanah yang sangat lelah,1.0
Tangan yang sangat sangat gelisah,1.0
Tanpa Kegagalan Gelisah,1.0
Gelisah muak bersalah,1.0
Khawatir,1.0
tadi malam pemujaan perasaan saya baik seperti takut kecemasan hfftt,1.0
Mental yang salah salah pikiran saya seperti lelah dengan kecemasan,1.0
Tidur malam kontol yang sulit bayangkan adegan berdarah darah berdarah segera panik dengan cemas takut dicampur,1.0
Tambahkan kecemasan kehangatan untuk minum obat jantung yang lezat,1.0
"Lupa tidur, berpikir mual tentang apa pun membuat Anda gugup",1.0
mual gugup,1.0
Ketahui cinta yang gelisah,1.0
"Aku sangat gelisah anjing domestik anjing tidur, bercinta",1.0
Aduhnya hati yang tidak bersahabat,1.0
Tidur yang tidak terkejut yang sangat gelisah terkejut,1.0
"Tanyarl Demotivasi sangat produktif, tidak ada alasan yang hangat dengan hati yang merasa bersalah sangat gelisah bagaimana cara menanganinya",1.0
sangat gelisah setelah bangun tidur intemperate keras,1.0
"Saya menghapus instalan kisah tentang sebagian besar teman di hati saya seperti cemas, ya, saya takut khawatir, ya bersalah",1.0
Gundah yang tidak dikeluarkan gelisah,1.0
Saya gelisah kemarin,1.0
"Saya pikir saya mendapat mental, sangat mudah untuk tidak bersgegat gelisah",1.0
Membuang pikiran saya berpikir dengan cemas suka sakit karena tersesat.,1.0
Het benar -benar gelisah tahu sangat wkwk,1.0
